debt_id,collected_amount,date_of_trans
6409,75.0,2021-02-14
6396,586.7741,2021-02-14
6539,58.0,2021-02-14
6130,58.0,2021-02-14
6647,58.0,2021-02-14
6500,29.0,2021-02-14
5867,59.0,2021-02-14
6709,22.0,2021-02-14
6713,43.4,2021-02-14
6361,12.94,2021-02-14
6351,50.0,2021-02-14
6340,52.0,2021-02-14
6405,23.5,2021-02-14
6099,72.5185,2021-02-14
6223,44.2,2021-02-14
6175,22.1,2021-02-14
6024,44.0,2021-02-14
6254,45.0,2021-02-14
6171,38.5,2021-02-14
6217,66.8,2021-02-14
6291,37.15,2021-02-14
6277,20.4828,2021-02-14
6734,45.502,2021-02-14
6418,21.75,2021-02-14
4445,60.8,2021-02-14
6270,42.0,2021-02-14
6142,25.0,2021-02-14
5961,73.811,2021-02-14
6185,44.5,2021-02-14
6141,24.223,2021-02-14
6759,13.0,2021-02-14
6242,20.0,2021-02-14
6438,44.6,2021-02-14
6489,60.0,2021-02-14
5992,37.15,2021-02-14
6596,44.1,2021-02-14
6153,34.797,2021-02-23
6195,26.0,2021-02-14
6306,21.2,2021-02-14
6218,69.592,2021-02-14
5816,43.7181,2021-02-14
6556,43.1,2021-02-14
6366,27.85,2021-02-14
5991,28.0,2021-02-14
6588,29.0003,2021-02-23
6232,41.95,2021-02-14
6536,100.0,2021-02-14
6557,46.98,2021-02-14
6430,30.0,2021-02-14
6667,30.1,2021-02-14
6287,20.8802,2021-02-14
6672,27.84,2021-02-14
6197,33.0039,2021-02-14
5786,132.9,2021-02-14
6090,21.0,2021-02-14
5987,106.996,2021-02-14
6208,26.5158,2021-02-14
6072,23.56,2021-02-14
6691,33.0,2021-02-14
5801,56.85,2021-02-14
5911,17.0242,2021-02-14
6237,25.3,2021-02-14
6342,21.0,2021-02-14
5893,40.0,2021-02-14
5954,25.0,2021-02-14
6436,20.0,2021-02-14
6565,20.615,2021-02-14
4447,40.0,2021-02-14
5903,50.0,2021-02-14
6343,67.6578,2021-02-17
6015,46.85,2021-02-14
6605,45.24,2021-02-14
6598,44.35,2021-02-14
6021,55.0,2021-02-14
6510,21.0,2021-02-14
6196,41.5,2021-02-14
6394,60.8,2021-02-14
5783,40.0,2021-02-14
6145,39.441,2021-02-14
6280,39.44,2021-02-14
6304,28.0,2021-02-14
6222,28.0,2021-02-14
6122,35.079,2021-02-14
6158,34.8,2021-02-14
6455,10.0,2021-03-14
6263,33.0035,2021-02-14
5832,32.4804,2021-02-14
6502,32.1,2021-02-01
6257,55.4108,2021-02-14
6521,20.95,2021-02-24
4564,29.0,2021-02-14
6385,26.5812,2021-02-14
6038,25.7053,2021-02-24
6541,25.156,2021-02-24
6547,22.679,2021-02-24
6155,20.9,2021-02-14
6248,19.75,2021-02-14
6451,35.199,2021-02-24
6400,13.0,2021-02-14
6127,15.0799,2021-02-14
6005,14.0452,2021-02-14
7991,40.0,2021-02-24
8011,30.0,2021-02-14
8016,15.75,2021-02-14
8032,27.9,2021-02-14
8052,28.304,2021-02-14
8063,45.55,2021-02-14
8069,26.5,2021-02-14
8070,54.23,2021-02-14
8072,56.724,2021-02-14
8075,27.84,2021-02-14
8078,40.0,2021-02-14
8082,28.768,2021-02-14
8092,25.0,2021-02-14
8098,21.95,2021-02-14
8143,54.5647,2021-02-14
8147,21.424,2021-02-14
8151,20.0,2021-02-14
8182,570.8,2021-02-14
8188,14.0,2021-02-14
8190,50.0,2021-02-14
8197,13.92,2021-02-14
8201,19.5,2021-02-14
8209,14.0,2021-02-14
8208,25.5948,2021-02-14
8214,30.0,2021-02-14
8215,31.0,2021-02-14
8220,27.85,2021-02-14
8223,147.0,2021-02-14
8224,55.0,2021-02-14
8242,28.0,2021-02-14
8243,27.85,2021-02-14
8244,27.9,2021-02-14
8245,14.0,2021-02-14
8253,41.75,2021-02-14
8270,31.552,2021-02-14
8274,16.0,2021-02-14
6546,21.0,2021-02-14
5843,153.048,2021-02-14
8119,83.0,2021-02-14
5842,50.0,2021-02-25
3964,91.5272,2020-11-28
3702,27.0,2020-11-28
4568,22.227,2020-11-28
3875,96.0358,2020-11-28
3982,15.0,2020-11-30
4001,107.7844,2020-11-30
4149,35.0,2020-11-30
3897,20.0,2020-11-30
4031,40.0,2020-12-12
3816,82.0,2020-12-12
4205,6.17,2020-12-12
4564,30.0,2020-12-01
4288,64.1694,2020-12-12
4308,50.0,2020-12-12
4203,34.0,2020-12-12
3768,20.0,2020-12-12
4352,30.0,2020-12-12
8277,29.861,2021-02-28
8269,25.0,2021-02-28
6626,32.48,2021-02-28
4007,72.3,2021-02-28
3739,50.0,2021-02-28
6586,20.2,2021-02-28
6570,41.62,2021-02-28
8207,35.0,2021-02-28
6558,86.03,2021-02-28
8204,37.0,2021-02-28
6520,50.0,2021-02-28
6513,34.096,2021-02-28
6481,44.05,2021-02-28
6459,37.1,2021-02-28
6450,40.5,2021-02-28
6444,36.65,2021-02-28
8177,25.0,2021-02-28
8149,19.95,2021-02-28
8140,50.0,2021-02-28
6386,40.0,2021-02-28
6383,27.82,2021-02-28
6375,32.48,2021-02-28
8114,25.0,2021-02-28
8105,30.0,2021-02-28
4153,52.915,2021-02-28
6307,22.1,2021-02-28
6298,24.0,2021-02-28
6292,20.9,2021-02-28
6262,27.5,2021-02-28
8085,30.659,2021-02-28
6212,13.54,2021-02-28
6201,13.9,2021-02-28
8083,14.96,2021-02-28
6173,13.91,2021-02-28
8074,34.35,2021-02-28
6126,21.0,2021-02-28
6114,50.0,2021-02-28
6104,33.25,2021-02-28
6097,20.7,2021-02-28
6080,34.8,2021-02-28
